roll no,Name,Chemistry,Physics,Math,Percentage
101,Aliza,50,23,87,53.33
102,Fareed,45,24,88,52.33
103,Basit,46,25,89,53.33
104,Abdullah,47,26,90,54.33
105,Ali,48,27,67,47.33
106,Mubashir,49,28,68,48.33
107,Waleed,50,29,69,49.33
108,Mansoor,51,30,70,50.33
109,Zain,52,31,71,51.33
110,Mohsin,53,67,72,64
111,Shahmeer,54,68,73,65
112,Rao,55,69,74,66
113,Aurangzeb,56,70,75,67
114,Zeeshan,57,71,76,68
115,Hamna,58,72,77,69
116,Hamza,59,73,78,70
117,Khalid,60,74,79,71
118,Behroz,61,75,80,72
119,Justin,62,76,81,73
120,Danish,63,77,82,74
121,Kainat,64,78,83,75
122,Sameer,65,79,84,76
123,Raza,66,80,85,77
124,Kumar,67,81,86,78
125,Komal,68,82,87,79
126,Erum,69,83,88,80
127,Faiza,70,84,89,81
128,Saeed,71,85,90,82
129,Waqar,72,86,91,83
130,Wali,73,87,92,84
131,Wajid,74,88,93,85
132,Waseeb,75,89,94,86
133,Shiza,76,90,95,87
134,Shabina,77,91,96,88
135,Shazain,78,55,97,76.67
136,Lubna,79,61,98,79.33
137,Laiba,80,88,78,82
138,Khursheed,81,56,45,60.67
139,Ali,82,89,46,72.33
140,Aiza,83,45,89,72.33
141,Aiman,84,92,78,84.67
142,Yasmeen,85,36,56,59
143,Tasbeel,86,78,78,80.67
144,Laraib,87,56,54,65.67
145,Saleem,88,78,78,81.33
146,Bismil,89,89,46,74.67
147,Batool,90,56,79,75
148,Iqra,91,33,46,56.67
149,Zarnish,92,78,45,71.67
150,Zara,83,45,56,61.33
